Sample	lon	lat	wc2.0_bio_30s_01	wc2.0_bio_30s_02	wc2.0_bio_30s_03	wc2.0_bio_30s_04	wc2.0_bio_30s_05	wc2.0_bio_30s_06	wc2.0_bio_30s_07	wc2.0_bio_30s_08	wc2.0_bio_30s_09	wc2.0_bio_30s_10	wc2.0_bio_30s_11	wc2.0_bio_30s_12	wc2.0_bio_30s_13	wc2.0_bio_30s_14	wc2.0_bio_30s_15	wc2.0_bio_30s_16	wc2.0_bio_30s_17	wc2.0_bio_30s_18	wc2.0_bio_30s_19
17N01018	-132.76124	56.593926	6.166666693	6.58333324	29.78883896	564.5284998	16.39999962	-5.699999809	22.09999943	6.516666777	11.56666652	13.2166667	-0.516666651	3024	470	141	37.6889063	1113	461	488	841
17N01020	-132.76124	56.593926	6.166666693	6.58333324	29.78883896	564.5284998	16.39999962	-5.699999809	22.09999943	6.516666777	11.56666652	13.2166667	-0.516666651	3024	470	141	37.6889063	1113	461	488	841
17N02605	-84.76156	37.81017	13.01250009	12.441667	33.99362622	871.2950718	30.39999962	-6.199999809	36.59999943	21.48333327	14.00000016	23.49999984	1.900000095	1189	121	73	15.20966731	345	255	320	274
17N02619	-113.53	47.22	5.329166621	13.00833337	35.4450493	862.9111946	22.10000038	-14.60000038	36.70000076	-4.450000107	15.28333346	16.01666673	-5.383333425	536	70	29	29.44322258	186	98	116	176
17N02620	-113.53	47.22	5.329166621	13.00833337	35.4450493	862.9111946	22.10000038	-14.60000038	36.70000076	-4.450000107	15.28333346	16.01666673	-5.383333425	536	70	29	29.44322258	186	98	116	176
17N02621	-113.53	47.22	5.329166621	13.00833337	35.4450493	862.9111946	22.10000038	-14.60000038	36.70000076	-4.450000107	15.28333346	16.01666673	-5.383333425	536	70	29	29.44322258	186	98	116	176
17N02622	-113.53	47.22	5.329166621	13.00833337	35.4450493	862.9111946	22.10000038	-14.60000038	36.70000076	-4.450000107	15.28333346	16.01666673	-5.383333425	536	70	29	29.44322258	186	98	116	176
17N02623	-112.75	46.41	5.900000088	15.20000014	38.57868	889.7752666	24.60000038	-14.80000019	39.40000057	14.28333342	-2.983333389	16.8500003	-5.183333397	273	45	10	50.27449207	117	38	102	38
17N02625	-113.53	47.22	5.329166621	13.00833337	35.4450493	862.9111946	22.10000038	-14.60000038	36.70000076	-4.450000107	15.28333346	16.01666673	-5.383333425	536	70	29	29.44322258	186	98	116	176
17N02626	-113.53	47.22	5.329166621	13.00833337	35.4450493	862.9111946	22.10000038	-14.60000038	36.70000076	-4.450000107	15.28333346	16.01666673	-5.383333425	536	70	29	29.44322258	186	98	116	176
17N02629	-132.76124	56.593926	6.166666693	6.58333324	29.78883896	564.5284998	16.39999962	-5.699999809	22.09999943	6.516666777	11.56666652	13.2166667	-0.516666651	3024	470	141	37.6889063	1113	461	488	841
17N02630	-132.76124	56.593926	6.166666693	6.58333324	29.78883896	564.5284998	16.39999962	-5.699999809	22.09999943	6.516666777	11.56666652	13.2166667	-0.516666651	3024	470	141	37.6889063	1113	461	488	841
17N02631	-132.76124	56.593926	6.166666693	6.58333324	29.78883896	564.5284998	16.39999962	-5.699999809	22.09999943	6.516666777	11.56666652	13.2166667	-0.516666651	3024	470	141	37.6889063	1113	461	488	841
17N02632	-132.76124	56.593926	6.166666693	6.58333324	29.78883896	564.5284998	16.39999962	-5.699999809	22.09999943	6.516666777	11.56666652	13.2166667	-0.516666651	3024	470	141	37.6889063	1113	461	488	841
17N02642	-132.76124	56.593926	6.166666693	6.58333324	29.78883896	564.5284998	16.39999962	-5.699999809	22.09999943	6.516666777	11.56666652	13.2166667	-0.516666651	3024	470	141	37.6889063	1113	461	488	841
17N02653	-117.37135	33.26764	16.81250008	12.37499984	54.03930264	330.6269764	28.79999924	5.900000095	22.89999914	13.33333357	20.20000013	21.14999994	13.08333365	285	55	1	87.44337634	158	6	12	148
17N02661	-117.37135	33.26764	16.81250008	12.37499984	54.03930264	330.6269764	28.79999924	5.900000095	22.89999914	13.33333357	20.20000013	21.14999994	13.08333365	285	55	1	87.44337634	158	6	12	148
17N02662	-117.37135	33.26764	16.81250008	12.37499984	54.03930264	330.6269764	28.79999924	5.900000095	22.89999914	13.33333357	20.20000013	21.14999994	13.08333365	285	55	1	87.44337634	158	6	12	148
17N02681	-117.37	33.26764	16.81250008	12.37499984	54.03930264	330.6269764	28.79999924	5.900000095	22.89999914	13.33333357	20.20000013	21.14999994	13.08333365	285	55	1	87.44337634	158	6	12	148
17N02809	-118.11	52.91	2.449999991	10.38333319	30.81107877	853.977318	17.79999924	-15.89999962	33.69999886	12.81666652	-2.083333381	12.81666652	-8.199999936	469	66	21	39.83820927	191	71	191	83
17N02810	-118.11	52.91	2.449999991	10.38333319	30.81107877	853.977318	17.79999924	-15.89999962	33.69999886	12.81666652	-2.083333381	12.81666652	-8.199999936	469	66	21	39.83820927	191	71	191	83
17N02811	-104.77	44.38	7.112499878	13.65833319	31.54349523	1047.254248	27.79999924	-15.5	43.29999924	17.29999955	-5.949999988	20.09999975	-5.949999988	390	72	12	61.26183489	183	39	151	39
17N02816	-104.77	44.38	7.112499878	13.65833319	31.54349523	1047.254248	27.79999924	-15.5	43.29999924	17.29999955	-5.949999988	20.09999975	-5.949999988	390	72	12	61.26183489	183	39	151	39
17N02817	-104.77	44.38	7.112499878	13.65833319	31.54349523	1047.254248	27.79999924	-15.5	43.29999924	17.29999955	-5.949999988	20.09999975	-5.949999988	390	72	12	61.26183489	183	39	151	39
17N02819	-104.77	44.38	7.112499878	13.65833319	31.54349523	1047.254248	27.79999924	-15.5	43.29999924	17.29999955	-5.949999988	20.09999975	-5.949999988	390	72	12	61.26183489	183	39	151	39
